Year,Annee,ISO,Jurisdiction,Juridiction,Species-group,Groupe-d'especes,Tenure-En,Tenure-Fr,Area,Superficie
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Pine,Pin,Federal land,Terres federales,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Spruce,epinette,Federal land,Terres federales,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Douglas-fir,Douglas taxifolie,Private land,Terres privees,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Fir,Sapin,Private land,Terres privees,1,1
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privees,1,1
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Miscellaneous softwoods,Resineux divers,Private land,Terres privees,87,87
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Pine,Pin,Private land,Terres privees,102,102
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Spruce,epinette,Private land,Terres privees,828,828
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Douglas-fir,Douglas taxifolie,Provincial land,Terres provinciales,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Fir,Sapin,Provincial land,Terres provinciales,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,3,3
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Miscellaneous softwoods,Resineux divers,Provincial land,Terres provinciales,29,29
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Pine,Pin,Provincial land,Terres provinciales,22,22
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Spruce,epinette,Provincial land,Terres provinciales,58,58
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,QC,Quebec,Quebec,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,QC,Quebec,Quebec,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,QC,Quebec,Quebec,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,QC,Quebec,Quebec,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,6,6
2000,2000,QC,Quebec,Quebec,Pine,Pin,Federal land,Terres federales,4,4
2000,2000,QC,Quebec,Quebec,Spruce,epinette,Federal land,Terres federales,38,38
2000,2000,QC,Quebec,Quebec,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,QC,Quebec,Quebec,Douglas-fir,Douglas taxifolie,Private land,Terres privees,0,0
2000,2000,QC,Quebec,Quebec,Fir,Sapin,Private land,Terres privees,0,0
2000,2000,QC,Quebec,Quebec,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privees,242,242
2000,2000,QC,Quebec,Quebec,Miscellaneous softwoods,Resineux divers,Private land,Terres privees,119,119
2000,2000,QC,Quebec,Quebec,Pine,Pin,Private land,Terres privees,3016,3016
2000,2000,QC,Quebec,Quebec,Spruce,epinette,Private land,Terres privees,9179,9179
2000,2000,QC,Quebec,Quebec,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,QC,Quebec,Quebec,Douglas-fir,Douglas taxifolie,Provincial land,Terres provinciales,0,0
2000,2000,QC,Quebec,Quebec,Fir,Sapin,Provincial land,Terres provinciales,147,147
2000,2000,QC,Quebec,Quebec,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,289,289
2000,2000,QC,Quebec,Quebec,Miscellaneous softwoods,Resineux divers,Provincial land,Terres provinciales,378,378
2000,2000,QC,Quebec,Quebec,Pine,Pin,Provincial land,Terres provinciales,18292,18292
2000,2000,QC,Quebec,Quebec,Spruce,epinette,Provincial land,Terres provinciales,57925,57925
2000,2000,QC,Quebec,Quebec,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
