Year,Annee,ISO,Jurisdiction,Juridiction,Tenure-En,Tenure-Fr,Application-Method,Methode-d'application,Area,Superficie
2001,2001,NS,Nova Scotia,Nouvelle-ecosse,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,NS,Nova Scotia,Nouvelle-ecosse,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2001,2001,NS,Nova Scotia,Nouvelle-ecosse,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,NS,Nova Scotia,Nouvelle-ecosse,Provincial land,Terres provinciales,Ground,Sol,0,0
2001,2001,NS,Nova Scotia,Nouvelle-ecosse,Private land,Terres privees,Ground,Sol,0,0
2001,2001,NS,Nova Scotia,Nouvelle-ecosse,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2001,2001,NS,Nova Scotia,Nouvelle-ecosse,Private land,Terres privees,Unspecified,Indeterminee,0,0
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Ground,Sol,0,0
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privees,Ground,Sol,0,0
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privees,Unspecified,Indeterminee,0,0
2001,2001,NU,Nunavut,Nunavut,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,NU,Nunavut,Nunavut,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,NU,Nunavut,Nunavut,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,ON,Ontario,Ontario,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,ON,Ontario,Ontario,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,ON,Ontario,Ontario,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,ON,Ontario,Ontario,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2001,2001,ON,Ontario,Ontario,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,ON,Ontario,Ontario,Provincial land,Terres provinciales,Ground,Sol,0,0
2001,2001,ON,Ontario,Ontario,Private land,Terres privees,Ground,Sol,0,0
2001,2001,ON,Ontario,Ontario,Provincial land,Terres provinciales,Unspecified,Indeterminee,19020,19020
2001,2001,ON,Ontario,Ontario,Private land,Terres privees,Unspecified,Indeterminee,0,0
2001,2001,PE,Prince Edward Island,Ile-du-Prince-edouard,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,PE,Prince Edward Island,Ile-du-Prince-edouard,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,PE,Prince Edward Island,Ile-du-Prince-edouard,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,PE,Prince Edward Island,Ile-du-Prince-edouard,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2001,2001,PE,Prince Edward Island,Ile-du-Prince-edouard,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,PE,Prince Edward Island,Ile-du-Prince-edouard,Provincial land,Terres provinciales,Ground,Sol,0,0
2001,2001,PE,Prince Edward Island,Ile-du-Prince-edouard,Private land,Terres privees,Ground,Sol,0,0
2001,2001,PE,Prince Edward Island,Ile-du-Prince-edouard,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2001,2001,PE,Prince Edward Island,Ile-du-Prince-edouard,Private land,Terres privees,Unspecified,Indeterminee,0,0
2001,2001,QC,Quebec,Quebec,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,QC,Quebec,Quebec,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,QC,Quebec,Quebec,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,QC,Quebec,Quebec,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2001,2001,QC,Quebec,Quebec,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,QC,Quebec,Quebec,Provincial land,Terres provinciales,Ground,Sol,0,0
2001,2001,QC,Quebec,Quebec,Private land,Terres privees,Ground,Sol,0,0
2001,2001,QC,Quebec,Quebec,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2001,2001,QC,Quebec,Quebec,Private land,Terres privees,Unspecified,Indeterminee,0,0
2001,2001,SK,Saskatchewan,Saskatchewan,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,SK,Saskatchewan,Saskatchewan,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,SK,Saskatchewan,Saskatchewan,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2001,2001,SK,Saskatchewan,Saskatchewan,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Ground,Sol,0,0
2001,2001,SK,Saskatchewan,Saskatchewan,Private land,Terres privees,Ground,Sol,0,0
2001,2001,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2001,2001,SK,Saskatchewan,Saskatchewan,Private land,Terres privees,Unspecified,Indeterminee,0,0
2001,2001,YT,Yukon,Yukon,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,YT,Yukon,Yukon,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,YT,Yukon,Yukon,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,YT,Yukon,Yukon,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2001,2001,YT,Yukon,Yukon,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,YT,Yukon,Yukon,Provincial land,Terres provinciales,Ground,Sol,0,0
2001,2001,YT,Yukon,Yukon,Private land,Terres privees,Ground,Sol,0,0
2001,2001,YT,Yukon,Yukon,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2001,2001,YT,Yukon,Yukon,Private land,Terres privees,Unspecified,Indeterminee,0,0
2002,2002,AB,Alberta,Alberta,Federal land,Terres federales,Aerial,Aerien,0,0
2002,2002,AB,Alberta,Alberta,Federal land,Terres federales,Ground,Sol,0,0
2002,2002,AB,Alberta,Alberta,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2002,2002,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aerien,1362,1362
2002,2002,AB,Alberta,Alberta,Private land,Terres privees,Aerial,Aerien,0,0
2002,2002,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,81,81
2002,2002,AB,Alberta,Alberta,Private land,Terres privees,Ground,Sol,0,0
2002,2002,AB,Alberta,Alberta,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2002,2002,AB,Alberta,Alberta,Private land,Terres privees,Unspecified,Indeterminee,0,0
2002,2002,BC,British Columbia,Colombie-Britannique,Federal land,Terres federales,Aerial,Aerien,0,0
2002,2002,BC,British Columbia,Colombie-Britannique,Federal land,Terres federales,Ground,Sol,0,0
2002,2002,BC,British Columbia,Colombie-Britannique,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2002,2002,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2002,2002,BC,British Columbia,Colombie-Britannique,Private land,Terres privees,Aerial,Aerien,0,0
2002,2002,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Ground,Sol,0,0
2002,2002,BC,British Columbia,Colombie-Britannique,Private land,Terres privees,Ground,Sol,0,0
2002,2002,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2002,2002,BC,British Columbia,Colombie-Britannique,Private land,Terres privees,Unspecified,Indeterminee,0,0
2002,2002,MB,Manitoba,Manitoba,Federal land,Terres federales,Aerial,Aerien,0,0
2002,2002,MB,Manitoba,Manitoba,Federal land,Terres federales,Ground,Sol,0,0
2002,2002,MB,Manitoba,Manitoba,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2002,2002,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2002,2002,MB,Manitoba,Manitoba,Private land,Terres privees,Aerial,Aerien,0,0
2002,2002,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Ground,Sol,0,0
2002,2002,MB,Manitoba,Manitoba,Private land,Terres privees,Ground,Sol,0,0
2002,2002,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2002,2002,MB,Manitoba,Manitoba,Private land,Terres privees,Unspecified,Indeterminee,0,0
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres federales,Aerial,Aerien,0,0
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres federales,Ground,Sol,0,0
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privees,Aerial,Aerien,0,0
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Ground,Sol,0,0
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privees,Ground,Sol,0,0
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privees,Unspecified,Indeterminee,0,0
