Year,ISO,Jurisdiction,Species group,Tenure (En),Volume (cubic metres) (En),Data qualifier
1992,QC,Quebec,Hardwoods,Federal land,0,u
1992,QC,Quebec,Softwoods,Federal land,0,u
1992,QC,Quebec,Unspecified,Federal land,0,u
1992,QC,Quebec,Unspecified,Federal land,486000,E
1992,SK,Saskatchewan,Softwoods,Provincial land,3605000,r
1992,SK,Saskatchewan,Softwoods,Private land,80000,e
1992,SK,Saskatchewan,Hardwoods,Provincial land,3001000,r
1992,SK,Saskatchewan,Hardwoods,Private land,200000,e
1992,SK,Saskatchewan,Unspecified,Provincial land,0,r
1992,SK,Saskatchewan,Unspecified,Private land,0,e
1992,SK,Saskatchewan,Hardwoods,Federal land,0,u
1992,SK,Saskatchewan,Softwoods,Federal land,0,u
1992,SK,Saskatchewan,Unspecified,Federal land,0,u
1992,SK,Saskatchewan,Unspecified,Federal land,462000,E
1992,YT,Yukon,Softwoods,Provincial land,0,u
1992,YT,Yukon,Softwoods,Private land,0,u
1992,YT,Yukon,Hardwoods,Provincial land,0,u
1992,YT,Yukon,Hardwoods,Private land,0,u
1992,YT,Yukon,Unspecified,Provincial land,0,u
1992,YT,Yukon,Unspecified,Private land,0,u
1992,YT,Yukon,Hardwoods,Federal land,0,n
1992,YT,Yukon,Softwoods,Federal land,0,n
1992,YT,Yukon,Unspecified,Federal land,0,u
1993,AB,Alberta,Hardwoods,Private land,528833,E
1993,AB,Alberta,Softwoods,Private land,722367,E
1993,AB,Alberta,Softwoods,Provincial land,12929905,a
1993,AB,Alberta,Hardwoods,Provincial land,9558753,a
1993,AB,Alberta,Unspecified,Provincial land,0,u
1993,AB,Alberta,Hardwoods,Federal land,0,u
1993,AB,Alberta,Softwoods,Federal land,0,u
1993,AB,Alberta,Unspecified,Federal land,0,u
1993,AB,Alberta,Unspecified,Federal land,948000,E
1993,BC,British Columbia,Hardwoods,Private land,524174,E
1993,BC,British Columbia,Softwoods,Private land,6389636,E
1993,BC,British Columbia,Softwoods,Private land regulated,2486182,a
1993,BC,British Columbia,Hardwoods,Private land regulated,9566,a
1993,BC,British Columbia,Unspecified,Private land regulated,0,u
1993,BC,British Columbia,Softwoods,Provincial land,66452880,a
1993,BC,British Columbia,Hardwoods,Provincial land,2366191,a
1993,BC,British Columbia,Unspecified,Provincial land,0,u
1993,BC,British Columbia,Hardwoods,Federal land,0,u
1993,BC,British Columbia,Softwoods,Federal land,0,u
1993,BC,British Columbia,Unspecified,Federal land,0,u
1993,BC,British Columbia,Unspecified,Federal land,541000,E
1993,GC,Canada,Hardwoods,Federal land,0,u
1993,GC,Canada,Softwoods,Federal land,0,u
1993,GC,Canada,Unspecified,Federal land,3813180,E
1993,MB,Manitoba,Softwoods,Provincial land,4907300,a
1993,MB,Manitoba,Softwoods,Private land,42030,a
1993,MB,Manitoba,Hardwoods,Provincial land,2178800,a
1993,MB,Manitoba,Hardwoods,Private land,571900,a
1993,MB,Manitoba,Unspecified,Provincial land,0,u
1993,MB,Manitoba,Unspecified,Private land,0,u
1993,MB,Manitoba,Hardwoods,Federal land,0,u
1993,MB,Manitoba,Softwoods,Federal land,0,u
1993,MB,Manitoba,Unspecified,Federal land,0,u
1993,MB,Manitoba,Unspecified,Federal land,95400,E
1993,NB,New Brunswick,Softwoods,Provincial land,3383330,a
1993,NB,New Brunswick,Softwoods,Private land,3474756,a
1993,NB,New Brunswick,Hardwoods,Provincial land,1672526,a
1993,NB,New Brunswick,Hardwoods,Private land,2204411,a
1993,NB,New Brunswick,Unspecified,Provincial land,0,u
1993,NB,New Brunswick,Unspecified,Private land,0,u
1993,NB,New Brunswick,Hardwoods,Federal land,0,u
1993,NB,New Brunswick,Softwoods,Federal land,0,u
1993,NB,New Brunswick,Unspecified,Federal land,0,u
1993,NB,New Brunswick,Unspecified,Federal land,163000,E
1993,NL,Newfoundland and Labrador,Softwoods,Provincial land,1145000,a
1993,NL,Newfoundland and Labrador,Softwoods,Private land,1835000,a
1993,NL,Newfoundland and Labrador,Hardwoods,Provincial land,0,u
1993,NL,Newfoundland and Labrador,Hardwoods,Private land,0,u
1993,NL,Newfoundland and Labrador,Unspecified,Provincial land,0,u
1993,NL,Newfoundland and Labrador,Unspecified,Private land,0,u
1993,NL,Newfoundland and Labrador,Hardwoods,Federal land,0,u
1993,NL,Newfoundland and Labrador,Softwoods,Federal land,0,u
1993,NL,Newfoundland and Labrador,Unspecified,Federal land,0,u
1993,NL,Newfoundland and Labrador,Unspecified,Federal land,6880,E
1993,NS,Nova Scotia,Softwoods,Provincial land,850000,a
1993,NS,Nova Scotia,Softwoods,Private land,2900000,a
1993,NS,Nova Scotia,Hardwoods,Provincial land,500000,a
1993,NS,Nova Scotia,Hardwoods,Private land,1000000,a
1993,NS,Nova Scotia,Unspecified,Provincial land,0,u
1993,NS,Nova Scotia,Unspecified,Private land,0,u
1993,NS,Nova Scotia,Hardwoods,Federal land,0,u
1993,NS,Nova Scotia,Softwoods,Federal land,0,u
1993,NS,Nova Scotia,Unspecified,Federal land,0,u
1993,NS,Nova Scotia,Unspecified,Federal land,25000,E
1993,NT,Northwest Territories,Softwoods,Provincial land,0,n
1993,NT,Northwest Territories,Softwoods,Private land,0,n
