Year,Jurisdiction,Industry,Product,Value
2002,Saskatchewan,Logging,Total logging,199198000
2002,Saskatchewan,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,538638000
2002,Saskatchewan,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Saskatchewan,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,356457000
2002,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,162428000
2002,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,150003000
2002,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,44026000
2002,Saskatchewan,All industries,Total revenue,1094293000
2002,Yukon,Logging,Total logging,0
2002,Yukon,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2002,Yukon,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Yukon,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2002,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2002,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2002,Yukon,All industries,Total revenue,0
2003,Canada,Logging,Total logging,12177771000
2003,Canada,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,33299610000
2003,Canada,Pulp and paper product manufacturing,Converted paper product manufacturing,10175305000
2003,Canada,Pulp and paper product manufacturing,Pulp paper and paperboard mills,23124305000
2003,Canada,Wood product manufacturing,Total wood product manufacturing,30600184000
2003,Canada,Wood product manufacturing,Sawmills and wood preservation,15270643000
2003,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,7735606000
2003,Canada,Wood product manufacturing,Other wood product manufacturing,7593935000
2003,Canada,All industries,Total revenue,76077565000
2003,Alberta,Logging,Total logging,684645000
2003,Alberta,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,1616848000
2003,Alberta,Pulp and paper product manufacturing,Converted paper product manufacturing,284420000
2003,Alberta,Pulp and paper product manufacturing,Pulp paper and paperboard mills,1332428000
2003,Alberta,Wood product manufacturing,Total wood product manufacturing,2922315000
2003,Alberta,Wood product manufacturing,Sawmills and wood preservation,1135331000
2003,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1234940000
2003,Alberta,Wood product manufacturing,Other wood product manufacturing,552044000
