Year,Jurisdiction,Sector,Employees
2018,Manitoba,Wood product manufacturing,1973
2018,New Brunswick,Forestry and logging,1821
2018,New Brunswick,Paper manufacturing,2610
2018,New Brunswick,Support activities for forestry,578
2018,New Brunswick,Wood product manufacturing,4621
2018,Newfoundland and Labrador,Forestry and logging,
2018,Newfoundland and Labrador,Paper manufacturing,
2018,Newfoundland and Labrador,Support activities for forestry,46
2018,Newfoundland and Labrador,Wood product manufacturing,376
2018,Northwest Territories,Forestry and logging,
2018,Northwest Territories,Paper manufacturing,
2018,Northwest Territories,Support activities for forestry,
2018,Northwest Territories,Wood product manufacturing,
2018,Nova Scotia,Forestry and logging,569
2018,Nova Scotia,Paper manufacturing,1090
2018,Nova Scotia,Support activities for forestry,274
2018,Nova Scotia,Wood product manufacturing,1645
2018,Nunavut,Forestry and logging,
2018,Nunavut,Paper manufacturing,
2018,Nunavut,Support activities for forestry,
2018,Nunavut,Wood product manufacturing,
2018,Ontario,Forestry and logging,3199
2018,Ontario,Paper manufacturing,17697
2018,Ontario,Support activities for forestry,1173
2018,Ontario,Wood product manufacturing,17150
2018,Prince Edward Island,Forestry and logging,43
2018,Prince Edward Island,Paper manufacturing,
2018,Prince Edward Island,Support activities for forestry,19
2018,Prince Edward Island,Wood product manufacturing,
2018,Quebec,Forestry and logging,5973
2018,Quebec,Paper manufacturing,21343
2018,Quebec,Support activities for forestry,3221
2018,Quebec,Wood product manufacturing,30613
2018,Saskatchewan,Forestry and logging,
2018,Saskatchewan,Paper manufacturing,
2018,Saskatchewan,Support activities for forestry,118
2018,Saskatchewan,Wood product manufacturing,1409
2018,Yukon,Forestry and logging,
2018,Yukon,Paper manufacturing,
2018,Yukon,Support activities for forestry,
2018,Yukon,Wood product manufacturing,
2019,Canada,Forestry and logging,26384
2019,Canada,Paper manufacturing,52281
2019,Canada,Support activities for forestry,12163
2019,Canada,Wood product manufacturing,94372
2019,Alberta,Forestry and logging,2733
2019,Alberta,Paper manufacturing,2103
2019,Alberta,Support activities for forestry,1128
2019,Alberta,Wood product manufacturing,9315
2019,British Columbia,Forestry and logging,11209
2019,British Columbia,Paper manufacturing,7170
2019,British Columbia,Support activities for forestry,5444
2019,British Columbia,Wood product manufacturing,26776
2019,Manitoba,Forestry and logging,
2019,Manitoba,Paper manufacturing,1328
2019,Manitoba,Support activities for forestry,
2019,Manitoba,Wood product manufacturing,2001
2019,New Brunswick,Forestry and logging,1985
2019,New Brunswick,Paper manufacturing,2719
2019,New Brunswick,Support activities for forestry,547
2019,New Brunswick,Wood product manufacturing,5021
2019,Newfoundland and Labrador,Forestry and logging,
2019,Newfoundland and Labrador,Paper manufacturing,
2019,Newfoundland and Labrador,Support activities for forestry,45
2019,Newfoundland and Labrador,Wood product manufacturing,384
2019,Northwest Territories,Forestry and logging,
2019,Northwest Territories,Paper manufacturing,
2019,Northwest Territories,Support activities for forestry,
2019,Northwest Territories,Wood product manufacturing,
2019,Nova Scotia,Forestry and logging,595
2019,Nova Scotia,Paper manufacturing,1041
2019,Nova Scotia,Support activities for forestry,270
2019,Nova Scotia,Wood product manufacturing,1565
2019,Nunavut,Forestry and logging,
2019,Nunavut,Paper manufacturing,
2019,Nunavut,Support activities for forestry,
2019,Nunavut,Wood product manufacturing,
2019,Ontario,Forestry and logging,3073
2019,Ontario,Paper manufacturing,16844
2019,Ontario,Support activities for forestry,1090
2019,Ontario,Wood product manufacturing,16932
2019,Prince Edward Island,Forestry and logging,43
2019,Prince Edward Island,Paper manufacturing,
2019,Prince Edward Island,Support activities for forestry,19
2019,Prince Edward Island,Wood product manufacturing,
2019,Quebec,Forestry and logging,5912
2019,Quebec,Paper manufacturing,20310
2019,Quebec,Support activities for forestry,3363
2019,Quebec,Wood product manufacturing,30793
2019,Saskatchewan,Forestry and logging,
2019,Saskatchewan,Paper manufacturing,
2019,Saskatchewan,Support activities for forestry,134
2019,Saskatchewan,Wood product manufacturing,1460
2019,Yukon,Forestry and logging,
2019,Yukon,Paper manufacturing,
2019,Yukon,Support activities for forestry,
2019,Yukon,Wood product manufacturing,
2020,Canada,Forestry and logging,24205
2020,Canada,Paper manufacturing,47696
2020,Canada,Support activities for forestry,11508
2020,Canada,Wood product manufacturing,86995
2020,Alberta,Forestry and logging,2618
2020,Alberta,Paper manufacturing,2296
2020,Alberta,Support activities for forestry,934
2020,Alberta,Wood product manufacturing,8818
2020,British Columbia,Forestry and logging,10131
2020,British Columbia,Paper manufacturing,6597
2020,British Columbia,Support activities for forestry,5263
2020,British Columbia,Wood product manufacturing,23036
2020,Manitoba,Forestry and logging,
2020,Manitoba,Paper manufacturing,1311
2020,Manitoba,Support activities for forestry,
2020,Manitoba,Wood product manufacturing,1833
2020,New Brunswick,Forestry and logging,1967
2020,New Brunswick,Paper manufacturing,2744
2020,New Brunswick,Support activities for forestry,527
2020,New Brunswick,Wood product manufacturing,5182
2020,Newfoundland and Labrador,Forestry and logging,
2020,Newfoundland and Labrador,Paper manufacturing,
2020,Newfoundland and Labrador,Support activities for forestry,38
2020,Newfoundland and Labrador,Wood product manufacturing,405
2020,Northwest Territories,Forestry and logging,
2020,Northwest Territories,Paper manufacturing,
2020,Northwest Territories,Support activities for forestry,
2020,Northwest Territories,Wood product manufacturing,
2020,Nova Scotia,Forestry and logging,476
2020,Nova Scotia,Paper manufacturing,725
2020,Nova Scotia,Support activities for forestry,309
2020,Nova Scotia,Wood product manufacturing,1392
2020,Nunavut,Forestry and logging,
2020,Nunavut,Paper manufacturing,
2020,Nunavut,Support activities for forestry,
2020,Nunavut,Wood product manufacturing,
2020,Ontario,Forestry and logging,2807
2020,Ontario,Paper manufacturing,15515
2020,Ontario,Support activities for forestry,901
2020,Ontario,Wood product manufacturing,16480
2020,Prince Edward Island,Forestry and logging,
2020,Prince Edward Island,Paper manufacturing,
2020,Prince Edward Island,Support activities for forestry,
2020,Prince Edward Island,Wood product manufacturing,
2020,Quebec,Forestry and logging,5406
2020,Quebec,Paper manufacturing,17737
2020,Quebec,Support activities for forestry,3250
2020,Quebec,Wood product manufacturing,28336
2020,Saskatchewan,Forestry and logging,
2020,Saskatchewan,Paper manufacturing,
2020,Saskatchewan,Support activities for forestry,144
2020,Saskatchewan,Wood product manufacturing,1409
2020,Yukon,Forestry and logging,
2020,Yukon,Paper manufacturing,
2020,Yukon,Support activities for forestry,
2020,Yukon,Wood product manufacturing,
2021,Canada,Forestry and logging,25621
2021,Canada,Paper manufacturing,47903
2021,Canada,Support activities for forestry,12533
2021,Canada,Wood product manufacturing,92885
2021,Alberta,Forestry and logging,2787
2021,Alberta,Paper manufacturing,2473
2021,Alberta,Support activities for forestry,828
2021,Alberta,Wood product manufacturing,9671
2021,British Columbia,Forestry and logging,11250
2021,British Columbia,Paper manufacturing,6530
2021,British Columbia,Support activities for forestry,6009
2021,British Columbia,Wood product manufacturing,23851
2021,Manitoba,Forestry and logging,
