Year,Jurisdiction,Sector,Number of jobs
2016,British Columbia,Paper manufacturing,7735
2016,British Columbia,Support activities for forestry,8480
2016,British Columbia,Wood product manufacturing,28535
2016,Manitoba,Forestry and logging,245
2016,Manitoba,Paper manufacturing,1275
2016,Manitoba,Support activities for forestry,535
2016,Manitoba,Wood product manufacturing,2505
2016,New Brunswick,Forestry and logging,2880
2016,New Brunswick,Paper manufacturing,3005
2016,New Brunswick,Support activities for forestry,925
2016,New Brunswick,Wood product manufacturing,5380
2016,Newfoundland and Labrador,Forestry and logging,445
2016,Newfoundland and Labrador,Paper manufacturing,345
2016,Newfoundland and Labrador,Support activities for forestry,150
2016,Newfoundland and Labrador,Wood product manufacturing,420
2016,Northwest Territories,Forestry and logging,5
2016,Northwest Territories,Paper manufacturing,0
2016,Northwest Territories,Support activities for forestry,150
2016,Northwest Territories,Wood product manufacturing,5
2016,Nova Scotia,Forestry and logging,910
2016,Nova Scotia,Paper manufacturing,1210
2016,Nova Scotia,Support activities for forestry,540
2016,Nova Scotia,Wood product manufacturing,1895
2016,Nunavut,Forestry and logging,0
2016,Nunavut,Paper manufacturing,0
2016,Nunavut,Support activities for forestry,0
2016,Nunavut,Wood product manufacturing,0
2016,Ontario,Forestry and logging,4310
2016,Ontario,Paper manufacturing,17755
2016,Ontario,Support activities for forestry,3240
2016,Ontario,Wood product manufacturing,17270
2016,Prince Edward Island,Forestry and logging,80
2016,Prince Edward Island,Paper manufacturing,275
2016,Prince Edward Island,Support activities for forestry,45
2016,Prince Edward Island,Wood product manufacturing,135
2016,Quebec,Forestry and logging,8270
2016,Quebec,Paper manufacturing,19270
2016,Quebec,Support activities for forestry,5380
2016,Quebec,Wood product manufacturing,31290
2016,Saskatchewan,Forestry and logging,440
2016,Saskatchewan,Paper manufacturing,280
2016,Saskatchewan,Support activities for forestry,895
2016,Saskatchewan,Wood product manufacturing,1745
2016,Yukon,Forestry and logging,35
2016,Yukon,Paper manufacturing,0
2016,Yukon,Support activities for forestry,20
2016,Yukon,Wood product manufacturing,5
2017,Canada,Forestry and logging,33015
2017,Canada,Paper manufacturing,57210
2017,Canada,Support activities for forestry,22410
2017,Canada,Wood product manufacturing,102120
2017,Alberta,Forestry and logging,3025
2017,Alberta,Paper manufacturing,2695
2017,Alberta,Support activities for forestry,1820
2017,Alberta,Wood product manufacturing,9185
2017,British Columbia,Forestry and logging,12970
2017,British Columbia,Paper manufacturing,8380
2017,British Columbia,Support activities for forestry,8440
2017,British Columbia,Wood product manufacturing,29400
2017,Manitoba,Forestry and logging,275
2017,Manitoba,Paper manufacturing,1290
2017,Manitoba,Support activities for forestry,485
2017,Manitoba,Wood product manufacturing,2485
2017,New Brunswick,Forestry and logging,2695
2017,New Brunswick,Paper manufacturing,3060
2017,New Brunswick,Support activities for forestry,935
2017,New Brunswick,Wood product manufacturing,5705
2017,Newfoundland and Labrador,Forestry and logging,315
2017,Newfoundland and Labrador,Paper manufacturing,380
2017,Newfoundland and Labrador,Support activities for forestry,150
2017,Newfoundland and Labrador,Wood product manufacturing,375
2017,Northwest Territories,Forestry and logging,5
2017,Northwest Territories,Paper manufacturing,0
2017,Northwest Territories,Support activities for forestry,170
2017,Northwest Territories,Wood product manufacturing,5
2017,Nova Scotia,Forestry and logging,800
2017,Nova Scotia,Paper manufacturing,1235
2017,Nova Scotia,Support activities for forestry,535
2017,Nova Scotia,Wood product manufacturing,1875
2017,Nunavut,Forestry and logging,0
2017,Nunavut,Paper manufacturing,0
2017,Nunavut,Support activities for forestry,0
2017,Nunavut,Wood product manufacturing,0
2017,Ontario,Forestry and logging,4230
2017,Ontario,Paper manufacturing,19150
2017,Ontario,Support activities for forestry,3090
2017,Ontario,Wood product manufacturing,18285
2017,Prince Edward Island,Forestry and logging,75
2017,Prince Edward Island,Paper manufacturing,310
2017,Prince Edward Island,Support activities for forestry,40
2017,Prince Edward Island,Wood product manufacturing,150
2017,Quebec,Forestry and logging,8200
2017,Quebec,Paper manufacturing,20420
2017,Quebec,Support activities for forestry,5825
2017,Quebec,Wood product manufacturing,32890
2017,Saskatchewan,Forestry and logging,395
2017,Saskatchewan,Paper manufacturing,290
2017,Saskatchewan,Support activities for forestry,895
2017,Saskatchewan,Wood product manufacturing,1760
2017,Yukon,Forestry and logging,30
2017,Yukon,Paper manufacturing,0
2017,Yukon,Support activities for forestry,25
2017,Yukon,Wood product manufacturing,5
2018,Canada,Forestry and logging,33495
2018,Canada,Paper manufacturing,56995
2018,Canada,Support activities for forestry,22810
2018,Canada,Wood product manufacturing,100415
2018,Alberta,Forestry and logging,3135
2018,Alberta,Paper manufacturing,2820
2018,Alberta,Support activities for forestry,1815
2018,Alberta,Wood product manufacturing,9360
2018,British Columbia,Forestry and logging,13535
2018,British Columbia,Paper manufacturing,8570
2018,British Columbia,Support activities for forestry,9120
2018,British Columbia,Wood product manufacturing,28875
2018,Manitoba,Forestry and logging,275
2018,Manitoba,Paper manufacturing,1335
2018,Manitoba,Support activities for forestry,490
2018,Manitoba,Wood product manufacturing,2435
2018,New Brunswick,Forestry and logging,2495
2018,New Brunswick,Paper manufacturing,3065
2018,New Brunswick,Support activities for forestry,965
2018,New Brunswick,Wood product manufacturing,5645
2018,Newfoundland and Labrador,Forestry and logging,305
2018,Newfoundland and Labrador,Paper manufacturing,345
2018,Newfoundland and Labrador,Support activities for forestry,155
2018,Newfoundland and Labrador,Wood product manufacturing,410
2018,Northwest Territories,Forestry and logging,5
2018,Northwest Territories,Paper manufacturing,0
2018,Northwest Territories,Support activities for forestry,165
2018,Northwest Territories,Wood product manufacturing,5
2018,Nova Scotia,Forestry and logging,795
2018,Nova Scotia,Paper manufacturing,1220
2018,Nova Scotia,Support activities for forestry,465
2018,Nova Scotia,Wood product manufacturing,1655
2018,Nunavut,Forestry and logging,0
2018,Nunavut,Paper manufacturing,0
2018,Nunavut,Support activities for forestry,0
2018,Nunavut,Wood product manufacturing,0
2018,Ontario,Forestry and logging,3915
2018,Ontario,Paper manufacturing,18775
2018,Ontario,Support activities for forestry,2670
2018,Ontario,Wood product manufacturing,17870
2018,Prince Edward Island,Forestry and logging,70
2018,Prince Edward Island,Paper manufacturing,315
2018,Prince Edward Island,Support activities for forestry,50
2018,Prince Edward Island,Wood product manufacturing,160
2018,Quebec,Forestry and logging,8555
2018,Quebec,Paper manufacturing,20260
2018,Quebec,Support activities for forestry,5980
2018,Quebec,Wood product manufacturing,32205
2018,Saskatchewan,Forestry and logging,380
2018,Saskatchewan,Paper manufacturing,290
2018,Saskatchewan,Support activities for forestry,905
2018,Saskatchewan,Wood product manufacturing,1790
2018,Yukon,Forestry and logging,30
2018,Yukon,Paper manufacturing,0
2018,Yukon,Support activities for forestry,30
2018,Yukon,Wood product manufacturing,5
2019,Canada,Forestry and logging,32045
2019,Canada,Paper manufacturing,54515
2019,Canada,Support activities for forestry,23435
2019,Canada,Wood product manufacturing,98485
2019,Alberta,Forestry and logging,2870
2019,Alberta,Paper manufacturing,2430
2019,Alberta,Support activities for forestry,2030
2019,Alberta,Wood product manufacturing,9220
2019,British Columbia,Forestry and logging,12870
2019,British Columbia,Paper manufacturing,8415
2019,British Columbia,Support activities for forestry,9540
2019,British Columbia,Wood product manufacturing,27535
2019,Manitoba,Forestry and logging,265
2019,Manitoba,Paper manufacturing,1365
2019,Manitoba,Support activities for forestry,445
2019,Manitoba,Wood product manufacturing,2505
2019,New Brunswick,Forestry and logging,2460
2019,New Brunswick,Paper manufacturing,3000
2019,New Brunswick,Support activities for forestry,905
2019,New Brunswick,Wood product manufacturing,5560
2019,Newfoundland and Labrador,Forestry and logging,265
2019,Newfoundland and Labrador,Paper manufacturing,340
2019,Newfoundland and Labrador,Support activities for forestry,155
2019,Newfoundland and Labrador,Wood product manufacturing,385
2019,Northwest Territories,Forestry and logging,10
2019,Northwest Territories,Paper manufacturing,0
2019,Northwest Territories,Support activities for forestry,175
2019,Northwest Territories,Wood product manufacturing,5
2019,Nova Scotia,Forestry and logging,785
2019,Nova Scotia,Paper manufacturing,1225
2019,Nova Scotia,Support activities for forestry,490
2019,Nova Scotia,Wood product manufacturing,1720
2019,Nunavut,Forestry and logging,0
2019,Nunavut,Paper manufacturing,0
2019,Nunavut,Support activities for forestry,0
2019,Nunavut,Wood product manufacturing,0
2019,Ontario,Forestry and logging,3910
2019,Ontario,Paper manufacturing,18265
2019,Ontario,Support activities for forestry,2590
2019,Ontario,Wood product manufacturing,17545
2019,Prince Edward Island,Forestry and logging,75
2019,Prince Edward Island,Paper manufacturing,305
2019,Prince Edward Island,Support activities for forestry,55
2019,Prince Edward Island,Wood product manufacturing,155
2019,Quebec,Forestry and logging,8130
2019,Quebec,Paper manufacturing,18860
2019,Quebec,Support activities for forestry,6060
2019,Quebec,Wood product manufacturing,32030
2019,Saskatchewan,Forestry and logging,375
2019,Saskatchewan,Paper manufacturing,310
2019,Saskatchewan,Support activities for forestry,935
2019,Saskatchewan,Wood product manufacturing,1825
2019,Yukon,Forestry and logging,30
2019,Yukon,Paper manufacturing,0
2019,Yukon,Support activities for forestry,55
2019,Yukon,Wood product manufacturing,0
2020,Canada,Forestry and logging,28125
2020,Canada,Paper manufacturing,48975
2020,Canada,Support activities for forestry,21555
2020,Canada,Wood product manufacturing,87930
2020,Alberta,Forestry and logging,3075
2020,Alberta,Paper manufacturing,2680
2020,Alberta,Support activities for forestry,1640
2020,Alberta,Wood product manufacturing,8735
2020,British Columbia,Forestry and logging,10320
2020,British Columbia,Paper manufacturing,6710
2020,British Columbia,Support activities for forestry,8995
2020,British Columbia,Wood product manufacturing,23130
2020,Manitoba,Forestry and logging,255
2020,Manitoba,Paper manufacturing,1385
2020,Manitoba,Support activities for forestry,425
2020,Manitoba,Wood product manufacturing,2140
2020,New Brunswick,Forestry and logging,2590
2020,New Brunswick,Paper manufacturing,2915
2020,New Brunswick,Support activities for forestry,905
2020,New Brunswick,Wood product manufacturing,5675
2020,Newfoundland and Labrador,Forestry and logging,240
2020,Newfoundland and Labrador,Paper manufacturing,300
2020,Newfoundland and Labrador,Support activities for forestry,140
2020,Newfoundland and Labrador,Wood product manufacturing,375
2020,Northwest Territories,Forestry and logging,10
2020,Northwest Territories,Paper manufacturing,0
2020,Northwest Territories,Support activities for forestry,170
2020,Northwest Territories,Wood product manufacturing,10
2020,Nova Scotia,Forestry and logging,650
2020,Nova Scotia,Paper manufacturing,965
2020,Nova Scotia,Support activities for forestry,485
2020,Nova Scotia,Wood product manufacturing,1620
2020,Nunavut,Forestry and logging,0
2020,Nunavut,Paper manufacturing,0
2020,Nunavut,Support activities for forestry,0
2020,Nunavut,Wood product manufacturing,0
2020,Ontario,Forestry and logging,3525
2020,Ontario,Paper manufacturing,16130
2020,Ontario,Support activities for forestry,2295
2020,Ontario,Wood product manufacturing,16070
2020,Prince Edward Island,Forestry and logging,75
2020,Prince Edward Island,Paper manufacturing,320
2020,Prince Edward Island,Support activities for forestry,40
2020,Prince Edward Island,Wood product manufacturing,160
2020,Quebec,Forestry and logging,6975
2020,Quebec,Paper manufacturing,17300
2020,Quebec,Support activities for forestry,5495
2020,Quebec,Wood product manufacturing,28420
2020,Saskatchewan,Forestry and logging,380
2020,Saskatchewan,Paper manufacturing,270
2020,Saskatchewan,Support activities for forestry,925
2020,Saskatchewan,Wood product manufacturing,1595
2020,Yukon,Forestry and logging,30
2020,Yukon,Paper manufacturing,0
2020,Yukon,Support activities for forestry,40
2020,Yukon,Wood product manufacturing,0
2021,Canada,Forestry and logging,31510
2021,Canada,Paper manufacturing,48215
2021,Canada,Support activities for forestry,23040
2021,Canada,Wood product manufacturing,98400
2021,Alberta,Forestry and logging,3475
2021,Alberta,Paper manufacturing,2800
2021,Alberta,Support activities for forestry,1800
2021,Alberta,Wood product manufacturing,9735
2021,British Columbia,Forestry and logging,12215
2021,British Columbia,Paper manufacturing,6975
2021,British Columbia,Support activities for forestry,9795
2021,British Columbia,Wood product manufacturing,25145
2021,Manitoba,Forestry and logging,270
2021,Manitoba,Paper manufacturing,1425
2021,Manitoba,Support activities for forestry,445
2021,Manitoba,Wood product manufacturing,2480
2021,New Brunswick,Forestry and logging,2675
2021,New Brunswick,Paper manufacturing,3040
2021,New Brunswick,Support activities for forestry,840
2021,New Brunswick,Wood product manufacturing,6350
2021,Newfoundland and Labrador,Forestry and logging,255
2021,Newfoundland and Labrador,Paper manufacturing,315
2021,Newfoundland and Labrador,Support activities for forestry,140
2021,Newfoundland and Labrador,Wood product manufacturing,455
2021,Northwest Territories,Forestry and logging,5
2021,Northwest Territories,Paper manufacturing,0
2021,Northwest Territories,Support activities for forestry,180
2021,Northwest Territories,Wood product manufacturing,15
2021,Nova Scotia,Forestry and logging,665
2021,Nova Scotia,Paper manufacturing,920
2021,Nova Scotia,Support activities for forestry,500
2021,Nova Scotia,Wood product manufacturing,1750
2021,Nunavut,Forestry and logging,0
2021,Nunavut,Paper manufacturing,0
2021,Nunavut,Support activities for forestry,0
2021,Nunavut,Wood product manufacturing,0
2021,Ontario,Forestry and logging,3640
2021,Ontario,Paper manufacturing,14815
