Year,Annee,ISO,Jurisdiction,Juridiction,Cause,Origine,Area,Superficie,Number,Nombre
1995,1995,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,28365.6,28365.6,344,344
1995,1995,MB,Manitoba,Manitoba,Human activity,Activites humaines,7366.5,7366.5,262,262
1995,1995,MB,Manitoba,Manitoba,Lightning,Foudre,881870.6,881870.6,399,399
1995,1995,MB,Manitoba,Manitoba,Unspecified,Indeterminee,0.1,0.1,1,1
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activites humaines,408.5,408.5,395,395
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,45.9,45.9,81,81
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,115.1,115.1,71,71
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activites humaines,301.1,301.1,84,84
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,400,400,2,2
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activites humaines,369.95,369.95,353,353
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,0.33,0.33,4,4
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indeterminee,34.23,34.23,50,50
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activites humaines,111783.76,111783.76,67,67
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,2715574.67,2715574.67,139,139
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brulage dirige,15996.9,15996.9,8,8
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indeterminee,11.11,11.11,4,4
1995,1995,ON,Ontario,Ontario,Human activity,Activites humaines,41933.5,41933.5,985,985
1995,1995,ON,Ontario,Ontario,Lightning,Foudre,570412.5,570412.5,1133,1133
1995,1995,ON,Ontario,Ontario,Unspecified,Indeterminee,216.9000002,216.9000002,32,32
1995,1995,PE,Prince Edward Island,Ile-du-Prince-edouard,Human activity,Activites humaines,16,16,14,14
