Year,Annee,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espece,Area,Superficie
2001,2001,AB,Alberta,Alberta,Bruce spanworm,Arpenteuse de Bruce,0,0
2001,2001,AB,Alberta,Alberta,Western spruce budworm,Tordeuse occidentale de l'epinette,0,0
2001,2001,AB,Alberta,Alberta,Large aspen tortrix,Tordeuse du tremble,3368106,3368106
2001,2001,AB,Alberta,Alberta,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,0
2001,2001,AB,Alberta,Alberta,Spruce beetle,Dendroctone de l'epinette,0,0
2001,2001,AB,Alberta,Alberta,Aspen twoleaf tier,Noctuelle decolorie,0,0
2001,2001,AB,Alberta,Alberta,Other,Autres,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Spruce budworm,Tordeuse des bourgeons de l'epinette,1612314,1612314
2001,2001,BC,British Columbia,Colombie-Britannique,Jack pine budworm,Tordeuse du pin gris,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Mountain pine beetle,Dendroctone du pin ponderosa,785497,785497
2001,2001,BC,British Columbia,Colombie-Britannique,Hemlock looper,Arpenteuse de la pruche,6801,6801
2001,2001,BC,British Columbia,Colombie-Britannique,Forest tent caterpillar,Livree des forets,60415,60415
2001,2001,BC,British Columbia,Colombie-Britannique,Spongy moth,Spongieuse,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Balsam fir sawfly,Diprion du sapin,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Swaine jack pine sawfly,Diprion de Swaine,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Bruce spanworm,Arpenteuse de Bruce,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Western spruce budworm,Tordeuse occidentale de l'epinette,123638,123638
2001,2001,BC,British Columbia,Colombie-Britannique,Large aspen tortrix,Tordeuse du tremble,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,121260,121260
2001,2001,BC,British Columbia,Colombie-Britannique,Spruce beetle,Dendroctone de l'epinette,100599,100599
2001,2001,BC,British Columbia,Colombie-Britannique,Aspen twoleaf tier,Noctuelle decolorie,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Other,Autres,1103057,1103057
2001,2001,MB,Manitoba,Manitoba,Spruce budworm,Tordeuse des bourgeons de l'epinette,95939,95939
2001,2001,MB,Manitoba,Manitoba,Jack pine budworm,Tordeuse du pin gris,0,0
2001,2001,MB,Manitoba,Manitoba,Mountain pine beetle,Dendroctone du pin ponderosa,0,0
2001,2001,MB,Manitoba,Manitoba,Hemlock looper,Arpenteuse de la pruche,0,0
2001,2001,MB,Manitoba,Manitoba,Forest tent caterpillar,Livree des forets,0,0
2001,2001,MB,Manitoba,Manitoba,Spongy moth,Spongieuse,0,0
2001,2001,MB,Manitoba,Manitoba,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,0
2001,2001,MB,Manitoba,Manitoba,Balsam fir sawfly,Diprion du sapin,0,0
2001,2001,MB,Manitoba,Manitoba,Swaine jack pine sawfly,Diprion de Swaine,0,0
2001,2001,MB,Manitoba,Manitoba,Bruce spanworm,Arpenteuse de Bruce,0,0
2001,2001,MB,Manitoba,Manitoba,Western spruce budworm,Tordeuse occidentale de l'epinette,0,0
2001,2001,MB,Manitoba,Manitoba,Large aspen tortrix,Tordeuse du tremble,0,0
2001,2001,MB,Manitoba,Manitoba,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,0
2001,2001,MB,Manitoba,Manitoba,Spruce beetle,Dendroctone de l'epinette,0,0
2001,2001,MB,Manitoba,Manitoba,Aspen twoleaf tier,Noctuelle decolorie,0,0
2001,2001,MB,Manitoba,Manitoba,Other,Autres,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Jack pine budworm,Tordeuse du pin gris,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Mountain pine beetle,Dendroctone du pin ponderosa,0,0
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Hemlock looper,Arpenteuse de la pruche,760,760
