Year,Jurisdiction,NAICS,Value
2007,Ontario,Paper manufacturing,27200
2007,Ontario,Support activities for forestry,2670
2007,Ontario,Wood product manufacturing,23855
2007,Prince Edward Island,Forestry and logging,55
2007,Prince Edward Island,Paper manufacturing,110
2007,Prince Edward Island,Support activities for forestry,25
2007,Prince Edward Island,Wood product manufacturing,255
2007,Quebec,Forestry and logging,11620
2007,Quebec,Paper manufacturing,24755
2007,Quebec,Support activities for forestry,4955
2007,Quebec,Wood product manufacturing,30520
2007,Saskatchewan,Forestry and logging,490
2007,Saskatchewan,Paper manufacturing,445
2007,Saskatchewan,Support activities for forestry,1155
2007,Saskatchewan,Wood product manufacturing,1245
2007,Yukon,Forestry and logging,20
2007,Yukon,Paper manufacturing,0
2007,Yukon,Support activities for forestry,10
2007,Yukon,Wood product manufacturing,15
2007,Northwest Territories including Nunavut,Forestry and logging,0
2007,Northwest Territories including Nunavut,Paper manufacturing,0
2007,Northwest Territories including Nunavut,Support activities for forestry,0
2007,Northwest Territories including Nunavut,Wood product manufacturing,0
2007,Nunavut,Forestry and logging,0
2007,Nunavut,Paper manufacturing,0
2007,Nunavut,Support activities for forestry,0
2007,Nunavut,Wood product manufacturing,0
2008,Canada,Forestry and logging,41920
2008,Canada,Paper manufacturing,70560
2008,Canada,Support activities for forestry,20610
2008,Canada,Wood product manufacturing,102075
2008,Alberta,Forestry and logging,2540
2008,Alberta,Paper manufacturing,3295
2008,Alberta,Support activities for forestry,1815
2008,Alberta,Wood product manufacturing,9600
2008,British Columbia,Forestry and logging,13990
2008,British Columbia,Paper manufacturing,10575
2008,British Columbia,Support activities for forestry,7460
2008,British Columbia,Wood product manufacturing,29505
2008,Manitoba,Forestry and logging,445
2008,Manitoba,Paper manufacturing,1600
2008,Manitoba,Support activities for forestry,550
2008,Manitoba,Wood product manufacturing,4110
2008,New Brunswick,Forestry and logging,2850
2008,New Brunswick,Paper manufacturing,3225
2008,New Brunswick,Support activities for forestry,1055
2008,New Brunswick,Wood product manufacturing,4595
2008,Newfoundland and Labrador,Forestry and logging,680
2008,Newfoundland and Labrador,Paper manufacturing,1070
2008,Newfoundland and Labrador,Support activities for forestry,205
2008,Newfoundland and Labrador,Wood product manufacturing,420
2008,Northwest Territories,Forestry and logging,15
2008,Northwest Territories,Paper manufacturing,0
2008,Northwest Territories,Support activities for forestry,175
2008,Northwest Territories,Wood product manufacturing,0
2008,Nova Scotia,Forestry and logging,1765
2008,Nova Scotia,Paper manufacturing,2385
2008,Nova Scotia,Support activities for forestry,605
2008,Nova Scotia,Wood product manufacturing,3450
2008,Ontario,Forestry and logging,6235
2008,Ontario,Paper manufacturing,25165
2008,Ontario,Support activities for forestry,2665
2008,Ontario,Wood product manufacturing,20595
2008,Prince Edward Island,Forestry and logging,45
2008,Prince Edward Island,Paper manufacturing,105
2008,Prince Edward Island,Support activities for forestry,20
2008,Prince Edward Island,Wood product manufacturing,230
2008,Quebec,Forestry and logging,12930
2008,Quebec,Paper manufacturing,22905
2008,Quebec,Support activities for forestry,4825
2008,Quebec,Wood product manufacturing,28445
2008,Saskatchewan,Forestry and logging,405
2008,Saskatchewan,Paper manufacturing,235
2008,Saskatchewan,Support activities for forestry,1225
2008,Saskatchewan,Wood product manufacturing,1110
2008,Yukon,Forestry and logging,20
2008,Yukon,Paper manufacturing,0
2008,Yukon,Support activities for forestry,10
2008,Yukon,Wood product manufacturing,15
2008,Northwest Territories including Nunavut,Forestry and logging,0
2008,Northwest Territories including Nunavut,Paper manufacturing,0
2008,Northwest Territories including Nunavut,Support activities for forestry,0
2008,Northwest Territories including Nunavut,Wood product manufacturing,0
2008,Nunavut,Forestry and logging,0
2008,Nunavut,Paper manufacturing,0
2008,Nunavut,Support activities for forestry,0
2008,Nunavut,Wood product manufacturing,0
2009,Canada,Forestry and logging,34855
2009,Canada,Paper manufacturing,64550
2009,Canada,Support activities for forestry,21730
2009,Canada,Wood product manufacturing,87610
2009,Alberta,Forestry and logging,2315
2009,Alberta,Paper manufacturing,2865
2009,Alberta,Support activities for forestry,1735
2009,Alberta,Wood product manufacturing,9030
2009,British Columbia,Forestry and logging,10130
2009,British Columbia,Paper manufacturing,9145
2009,British Columbia,Support activities for forestry,7205
2009,British Columbia,Wood product manufacturing,23905
2009,Manitoba,Forestry and logging,345
2009,Manitoba,Paper manufacturing,1405
2009,Manitoba,Support activities for forestry,560
2009,Manitoba,Wood product manufacturing,3290
2009,New Brunswick,Forestry and logging,3040
2009,New Brunswick,Paper manufacturing,2720
2009,New Brunswick,Support activities for forestry,945
2009,New Brunswick,Wood product manufacturing,4185
2009,Newfoundland and Labrador,Forestry and logging,525
2009,Newfoundland and Labrador,Paper manufacturing,675
2009,Newfoundland and Labrador,Support activities for forestry,185
2009,Newfoundland and Labrador,Wood product manufacturing,395
2009,Northwest Territories,Forestry and logging,10
2009,Northwest Territories,Paper manufacturing,0
2009,Northwest Territories,Support activities for forestry,170
2009,Northwest Territories,Wood product manufacturing,0
2009,Nova Scotia,Forestry and logging,1425
2009,Nova Scotia,Paper manufacturing,1830
2009,Nova Scotia,Support activities for forestry,680
2009,Nova Scotia,Wood product manufacturing,3250
2009,Ontario,Forestry and logging,4640
2009,Ontario,Paper manufacturing,23395
2009,Ontario,Support activities for forestry,2985
2009,Ontario,Wood product manufacturing,17345
2009,Prince Edward Island,Forestry and logging,40
2009,Prince Edward Island,Paper manufacturing,120
2009,Prince Edward Island,Support activities for forestry,20
2009,Prince Edward Island,Wood product manufacturing,160
2009,Quebec,Forestry and logging,12030
2009,Quebec,Paper manufacturing,22030
2009,Quebec,Support activities for forestry,6030
2009,Quebec,Wood product manufacturing,24750
2009,Saskatchewan,Forestry and logging,335
2009,Saskatchewan,Paper manufacturing,365
2009,Saskatchewan,Support activities for forestry,1205
2009,Saskatchewan,Wood product manufacturing,1275
2009,Yukon,Forestry and logging,20
2009,Yukon,Paper manufacturing,0
2009,Yukon,Support activities for forestry,10
2009,Yukon,Wood product manufacturing,25
2009,Northwest Territories including Nunavut,Forestry and logging,0
2009,Northwest Territories including Nunavut,Paper manufacturing,0
2009,Northwest Territories including Nunavut,Support activities for forestry,0
2009,Northwest Territories including Nunavut,Wood product manufacturing,0
2009,Nunavut,Forestry and logging,0
2009,Nunavut,Paper manufacturing,0
2009,Nunavut,Support activities for forestry,0
2009,Nunavut,Wood product manufacturing,0
2010,Canada,Forestry and logging,34920
2010,Canada,Paper manufacturing,64585
2010,Canada,Support activities for forestry,21110
2010,Canada,Wood product manufacturing,91170
2010,Alberta,Forestry and logging,2205
2010,Alberta,Paper manufacturing,2985
2010,Alberta,Support activities for forestry,1580
2010,Alberta,Wood product manufacturing,9340
2010,British Columbia,Forestry and logging,11615
2010,British Columbia,Paper manufacturing,8830
2010,British Columbia,Support activities for forestry,6720
2010,British Columbia,Wood product manufacturing,24420
2010,Manitoba,Forestry and logging,330
2010,Manitoba,Paper manufacturing,1525
2010,Manitoba,Support activities for forestry,565
2010,Manitoba,Wood product manufacturing,2345
2010,New Brunswick,Forestry and logging,3125
2010,New Brunswick,Paper manufacturing,3065
2010,New Brunswick,Support activities for forestry,1020
