Année,Juridiction,SCIAN,Valeur
2006,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,250
2006,Terre-Neuve-et-Labrador,Fabrication de produits en bois,460
2006,Territoires du Nord-Ouest,Foresterie et exploitation forestière,15
2006,Territoires du Nord-Ouest,Fabrication du papier,0
2006,Territoires du Nord-Ouest,Activités de soutien à la foresterie,170
2006,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2006,Nouvelle-Écosse,Foresterie et exploitation forestière,1910
2006,Nouvelle-Écosse,Fabrication du papier,1895
2006,Nouvelle-Écosse,Activités de soutien à la foresterie,520
2006,Nouvelle-Écosse,Fabrication de produits en bois,3605
2006,Ontario,Foresterie et exploitation forestière,7725
2006,Ontario,Fabrication du papier,30145
2006,Ontario,Activités de soutien à la foresterie,2635
2006,Ontario,Fabrication de produits en bois,30525
2006,Île-du-Prince-Édouard,Foresterie et exploitation forestière,65
2006,Île-du-Prince-Édouard,Fabrication du papier,120
2006,Île-du-Prince-Édouard,Activités de soutien à la foresterie,10
2006,Île-du-Prince-Édouard,Fabrication de produits en bois,385
2006,Québec,Foresterie et exploitation forestière,13205
2006,Québec,Fabrication du papier,27800
2006,Québec,Activités de soutien à la foresterie,5105
2006,Québec,Fabrication de produits en bois,36670
2006,Saskatchewan,Foresterie et exploitation forestière,605
2006,Saskatchewan,Fabrication du papier,360
2006,Saskatchewan,Activités de soutien à la foresterie,1225
2006,Saskatchewan,Fabrication de produits en bois,1925
2006,Yukon,Foresterie et exploitation forestière,20
2006,Yukon,Fabrication du papier,0
2006,Yukon,Activités de soutien à la foresterie,10
2006,Yukon,Fabrication de produits en bois,30
2006,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2006,Territoires du Nord-Ouest,Fabrication du papier,0
2006,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2006,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2006,Nunavut,Foresterie et exploitation forestière,0
2006,Nunavut,Fabrication du papier,0
2006,Nunavut,Activités de soutien à la foresterie,0
2006,Nunavut,Fabrication de produits en bois,0
2007,Canada,Foresterie et exploitation forestière,44940
2007,Canada,Fabrication du papier,77780
2007,Canada,Activités de soutien à la foresterie,21145
2007,Canada,Fabrication de produits en bois,114635
2007,Alberta,Foresterie et exploitation forestière,2700
2007,Alberta,Fabrication du papier,3660
2007,Alberta,Activités de soutien à la foresterie,1800
2007,Alberta,Fabrication de produits en bois,11255
2007,Colombie-Britannique,Foresterie et exploitation forestière,16665
2007,Colombie-Britannique,Fabrication du papier,12230
2007,Colombie-Britannique,Activités de soutien à la foresterie,7725
2007,Colombie-Britannique,Fabrication de produits en bois,35125
2007,Manitoba,Foresterie et exploitation forestière,540
2007,Manitoba,Fabrication du papier,1710
2007,Manitoba,Activités de soutien à la foresterie,620
2007,Manitoba,Fabrication de produits en bois,4030
2007,Nouveau-Brunswick,Foresterie et exploitation forestière,3045
2007,Nouveau-Brunswick,Fabrication du papier,4035
2007,Nouveau-Brunswick,Activités de soutien à la foresterie,1245
2007,Nouveau-Brunswick,Fabrication de produits en bois,4780
2007,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,800
2007,Terre-Neuve-et-Labrador,Fabrication du papier,1095
2007,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,245
2007,Terre-Neuve-et-Labrador,Fabrication de produits en bois,485
2007,Territoires du Nord-Ouest,Foresterie et exploitation forestière,15
2007,Territoires du Nord-Ouest,Fabrication du papier,0
2007,Territoires du Nord-Ouest,Activités de soutien à la foresterie,170
2007,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2007,Nouvelle-Écosse,Foresterie et exploitation forestière,1875
2007,Nouvelle-Écosse,Fabrication du papier,2540
2007,Nouvelle-Écosse,Activités de soutien à la foresterie,525
2007,Nouvelle-Écosse,Fabrication de produits en bois,3070
2007,Ontario,Foresterie et exploitation forestière,7115
2007,Ontario,Fabrication du papier,27200
2007,Ontario,Activités de soutien à la foresterie,2670
2007,Ontario,Fabrication de produits en bois,23855
2007,Île-du-Prince-Édouard,Foresterie et exploitation forestière,55
2007,Île-du-Prince-Édouard,Fabrication du papier,110
2007,Île-du-Prince-Édouard,Activités de soutien à la foresterie,25
2007,Île-du-Prince-Édouard,Fabrication de produits en bois,255
2007,Québec,Foresterie et exploitation forestière,11620
2007,Québec,Fabrication du papier,24755
2007,Québec,Activités de soutien à la foresterie,4955
2007,Québec,Fabrication de produits en bois,30520
2007,Saskatchewan,Foresterie et exploitation forestière,490
2007,Saskatchewan,Fabrication du papier,445
2007,Saskatchewan,Activités de soutien à la foresterie,1155
2007,Saskatchewan,Fabrication de produits en bois,1245
2007,Yukon,Foresterie et exploitation forestière,20
2007,Yukon,Fabrication du papier,0
2007,Yukon,Activités de soutien à la foresterie,10
2007,Yukon,Fabrication de produits en bois,15
2007,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2007,Territoires du Nord-Ouest,Fabrication du papier,0
2007,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2007,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2007,Nunavut,Foresterie et exploitation forestière,0
2007,Nunavut,Fabrication du papier,0
2007,Nunavut,Activités de soutien à la foresterie,0
2007,Nunavut,Fabrication de produits en bois,0
