Year,Année,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espèce,Area,Data_qualifier,Superficie,Qualificatifs_de_données
1990,1990,YT,Yukon,Yukon,Western spruce budworm,Tordeuse occidentale de l'épinette,0,a,0,a
1990,1990,YT,Yukon,Yukon,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1990,1990,YT,Yukon,Yukon,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,a,0,a
1990,1990,YT,Yukon,Yukon,Spruce beetle,Dendroctone de l'épinette,0,a,0,a
1990,1990,YT,Yukon,Yukon,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1990,1990,YT,Yukon,Yukon,Other,Autres,0,a,0,a
1991,1991,AB,Alberta,Alberta,Spruce budworm,Tordeuse des bourgeons de l'épinette,141000,a,141000,a
1991,1991,AB,Alberta,Alberta,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1991,1991,AB,Alberta,Alberta,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
1991,1991,AB,Alberta,Alberta,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1991,1991,AB,Alberta,Alberta,Forest tent caterpillar,Livrée des forêts,129200,a,129200,a
1991,1991,AB,Alberta,Alberta,Spongy moth,Spongieuse,0,n,0,n
1991,1991,AB,Alberta,Alberta,Blackheaded budworm,Tordeuse à tête noire de l'épinette,0,a,0,a
1991,1991,AB,Alberta,Alberta,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1991,1991,AB,Alberta,Alberta,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1991,1991,AB,Alberta,Alberta,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1991,1991,AB,Alberta,Alberta,Western spruce budworm,Tordeuse occidentale de l'épinette,0,a,0,a
1991,1991,AB,Alberta,Alberta,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1991,1991,AB,Alberta,Alberta,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,a,0,a
1991,1991,AB,Alberta,Alberta,Spruce beetle,Dendroctone de l'épinette,0,a,0,a
1991,1991,AB,Alberta,Alberta,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1991,1991,AB,Alberta,Alberta,Other,Autres,0,a,0,a
1991,1991,BC,British Columbia,Colombie-Britannique,Spruce budworm,Tordeuse des bourgeons de l'épinette,245000,a,245000,a
1991,1991,BC,British Columbia,Colombie-Britannique,Jack pine budworm,Tordeuse du pin gris,0,n,0,n
1991,1991,BC,British Columbia,Colombie-Britannique,Mountain pine beetle,Dendroctone du pin ponderosa,49600,a,49600,a
1991,1991,BC,British Columbia,Colombie-Britannique,Hemlock looper,Arpenteuse de la pruche,50000,a,50000,a
1991,1991,BC,British Columbia,Colombie-Britannique,Forest tent caterpillar,Livrée des forêts,113000,a,113000,a
1991,1991,BC,British Columbia,Colombie-Britannique,Spongy moth,Spongieuse,0,n,0,n
1991,1991,BC,British Columbia,Colombie-Britannique,Blackheaded budworm,Tordeuse à tête noire de l'épinette,0,a,0,a
1991,1991,BC,British Columbia,Colombie-Britannique,Balsam fir sawfly,Diprion du sapin,0,n,0,n
1991,1991,BC,British Columbia,Colombie-Britannique,Swaine jack pine sawfly,Diprion de Swaine,0,n,0,n
1991,1991,BC,British Columbia,Colombie-Britannique,Bruce spanworm,Arpenteuse de Bruce,0,n,0,n
1991,1991,BC,British Columbia,Colombie-Britannique,Western spruce budworm,Tordeuse occidentale de l'épinette,395000,a,395000,a
1991,1991,BC,British Columbia,Colombie-Britannique,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1991,1991,BC,British Columbia,Colombie-Britannique,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,34351,a,34351,a
1991,1991,BC,British Columbia,Colombie-Britannique,Spruce beetle,Dendroctone de l'épinette,0,a,0,a
1991,1991,BC,British Columbia,Colombie-Britannique,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1991,1991,BC,British Columbia,Colombie-Britannique,Other,Autres,70351,a,70351,a
1991,1991,MB,Manitoba,Manitoba,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,n,0,n
1991,1991,MB,Manitoba,Manitoba,Spruce beetle,Dendroctone de l'épinette,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Other,Autres,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Spruce budworm,Tordeuse des bourgeons de l'épinette,30500,a,30500,a
1991,1991,MB,Manitoba,Manitoba,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
1991,1991,MB,Manitoba,Manitoba,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Forest tent caterpillar,Livrée des forêts,58082,a,58082,a
1991,1991,MB,Manitoba,Manitoba,Spongy moth,Spongieuse,0,n,0,n
1991,1991,MB,Manitoba,Manitoba,Blackheaded budworm,Tordeuse à tête noire de l'épinette,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Western spruce budworm,Tordeuse occidentale de l'épinette,0,n,0,n
1991,1991,MB,Manitoba,Manitoba,Large aspen tortrix,Tordeuse du tremble,12691,a,12691,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Spruce budworm,Tordeuse des bourgeons de l'épinette,266000,a,266000,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Hemlock looper,Arpenteuse de la pruche,3600,a,3600,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Forest tent caterpillar,Livrée des forêts,2900,a,2900,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Spongy moth,Spongieuse,0,u,0,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Blackheaded budworm,Tordeuse à tête noire de l'épinette,0,a,0,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Balsam fir sawfly,Diprion du sapin,0,u,0,u
