Year,Jurisdiction,Export market,Value (dollars)
2005,Quebec,South Korea,17204977
2005,Quebec,Taiwan,34230024
2005,Quebec,United States,10087377983
2005,Saskatchewan,Africa,27700
2005,Saskatchewan,China,40233823
2005,Saskatchewan,Eurpoean Union,79317255
2005,Saskatchewan,India,25
2005,Saskatchewan,Japan,18202527
2005,Saskatchewan,Middle East,81
2005,Saskatchewan,Oceania,6841
2005,Saskatchewan,Other,6100305
2005,Saskatchewan,South & Central America,5498864
2005,Saskatchewan,South Korea,10187326
2005,Saskatchewan,Taiwan,13818571
2005,Saskatchewan,United States,707617400
2005,Yukon,United States,904952
2006,Canada,Africa,68897052
2006,Canada,China,1277912428
2006,Canada,Eurpoean Union,1906877965
2006,Canada,India,332259608
2006,Canada,Japan,1856010515
2006,Canada,Middle East,438783399
2006,Canada,Oceania,138776286
2006,Canada,Other,547089773
2006,Canada,South & Central America,928927505
2006,Canada,South Korea,500203162
2006,Canada,Taiwan,341124545
2006,Canada,United States,29999229440
2006,Alberta,Africa,64969
2006,Alberta,China,113176618
2006,Alberta,Eurpoean Union,73822506
2006,Alberta,India,610169
2006,Alberta,Japan,177021030
2006,Alberta,Middle East,190180
2006,Alberta,Oceania,17262084
2006,Alberta,Other,34684550
2006,Alberta,South & Central America,23853350
2006,Alberta,South Korea,124430098
2006,Alberta,Taiwan,19495508
2006,Alberta,United States,2019034249
2006,British Columbia,Africa,5847077
2006,British Columbia,China,851271730
2006,British Columbia,Eurpoean Union,798951605
2006,British Columbia,India,159913027
2006,British Columbia,Japan,1608660460
2006,British Columbia,Middle East,61979411
2006,British Columbia,Oceania,106038968
2006,British Columbia,Other,282667117
2006,British Columbia,South & Central America,250986422
2006,British Columbia,South Korea,285273569
2006,British Columbia,Taiwan,250437634
2006,British Columbia,United States,8654820543
2006,Manitoba,Africa,366005
2006,Manitoba,China,1614505
2006,Manitoba,Eurpoean Union,7181660
2006,Manitoba,India,1022876
2006,Manitoba,Japan,229142
2006,Manitoba,Middle East,7394615
2006,Manitoba,Oceania,2050384
