Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2002,Nova Scotia,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),166
2002,Nova Scotia,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),4103
2002,Nova Scotia,Imports,Wood-Fabricated Materials,Plywood (cubic metres),800
2002,Nova Scotia,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),181
2002,Nova Scotia,Imports,Wood-Fabricated Materials,Veneer (square metres),461535
2002,Ontario,Imports,Primary Wood Products,Logs (cubic metres),481946
2002,Ontario,Imports,Primary Wood Products,Pulpwood (cubic metres),115258
2002,Ontario,Imports,Pulp and Paper Products,Newsprint (tonnes),24925
2002,Ontario,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),1726592
2002,Ontario,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),106498
2002,Ontario,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),715288
2002,Ontario,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),45315
2002,Ontario,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),112876
2002,Ontario,Imports,Wood-Fabricated Materials,Plywood (cubic metres),219162
2002,Ontario,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),125383
2002,Ontario,Imports,Wood-Fabricated Materials,Veneer (square metres),86381835
2002,Prince Edward Island,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3
2002,Prince Edward Island,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),14
2002,Prince Edward Island,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),14
2002,Prince Edward Island,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),79
2002,Quebec,Imports,Primary Wood Products,Logs (cubic metres),3599112
2002,Quebec,Imports,Primary Wood Products,Pulpwood (cubic metres),1504286
2002,Quebec,Imports,Pulp and Paper Products,Newsprint (tonnes),15326
2002,Quebec,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),527576
2002,Quebec,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),88397
2002,Quebec,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),198995
2002,Quebec,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),24620
2002,Quebec,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),237814
2002,Quebec,Imports,Wood-Fabricated Materials,Plywood (cubic metres),71059
2002,Quebec,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),150461
2002,Quebec,Imports,Wood-Fabricated Materials,Veneer (square metres),16985779
2002,Saskatchewan,Imports,Primary Wood Products,Logs (cubic metres),167
2002,Saskatchewan,Imports,Pulp and Paper Products,Newsprint (tonnes),1
2002,Saskatchewan,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),20925
2002,Saskatchewan,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),214
2002,Saskatchewan,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),16671
2002,Saskatchewan,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2557
2002,Saskatchewan,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),2236
2002,Saskatchewan,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1139
2002,Saskatchewan,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),393
2002,Saskatchewan,Imports,Wood-Fabricated Materials,Veneer (square metres),1384241
2003,Canada,Imports,Primary Wood Products,Logs (cubic metres),4763667
2003,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),1125673
2003,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),65309
2003,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2851844
2003,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),253700
2003,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1126731
2003,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),113800
2003,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),251396
2003,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),400727
2003,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),563299
2003,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),89172856
2003,Alberta,Imports,Primary Wood Products,Logs (cubic metres),141
2003,Alberta,Imports,Pulp and Paper Products,Newsprint (tonnes),149
2003,Alberta,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),81938
2003,Alberta,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),11894
2003,Alberta,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),18928
2003,Alberta,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),5743
2003,Alberta,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),12807
2003,Alberta,Imports,Wood-Fabricated Materials,Plywood (cubic metres),6312
2003,Alberta,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1780
2003,Alberta,Imports,Wood-Fabricated Materials,Veneer (square metres),411160
2003,British Columbia,Imports,Primary Wood Products,Logs (cubic metres),30248
2003,British Columbia,Imports,Primary Wood Products,Pulpwood (cubic metres),328205
2003,British Columbia,Imports,Pulp and Paper Products,Newsprint (tonnes),24173
2003,British Columbia,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),264342
2003,British Columbia,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),40721
