Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2001,Ontario,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),4446367
2001,Ontario,Exports,Wood-Fabricated Materials,Veneer (square metres),56533158
2001,Prince Edward Island,Exports,Primary Wood Products,Logs (cubic metres),7
2001,Prince Edward Island,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),19
2001,Prince Edward Island,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),133
2001,Prince Edward Island,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),106
2001,Prince Edward Island,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),72732
2001,Prince Edward Island,Exports,Wood-Fabricated Materials,Veneer (square metres),46944
2001,Quebec,Exports,Primary Wood Products,Logs (cubic metres),23006
2001,Quebec,Exports,Primary Wood Products,Pulpwood (cubic metres),133
2001,Quebec,Exports,Pulp and Paper Products,Newsprint (tonnes),3430882
2001,Quebec,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),2574157
2001,Quebec,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),1373457
2001,Quebec,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),582228
2001,Quebec,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1637265
2001,Quebec,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),586239
2001,Quebec,Exports,Wood-Fabricated Materials,Plywood (cubic metres),84952
2001,Quebec,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),9185940
2001,Quebec,Exports,Wood-Fabricated Materials,Veneer (square metres),57753233
2001,Saskatchewan,Exports,Primary Wood Products,Logs (cubic metres),1231
2001,Saskatchewan,Exports,Pulp and Paper Products,Newsprint (tonnes),41
2001,Saskatchewan,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),114061
2001,Saskatchewan,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),331596
2001,Saskatchewan,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),2639
2001,Saskatchewan,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),47454
2001,Saskatchewan,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),28
2001,Saskatchewan,Exports,Wood-Fabricated Materials,Plywood (cubic metres),585
2001,Saskatchewan,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),785579
2001,Yukon,Exports,Primary Wood Products,Logs (cubic metres),1163
2001,Yukon,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),71
2001,Yukon,Exports,Wood-Fabricated Materials,Plywood (cubic metres),8
2001,Yukon,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),11198
2002,Canada,Exports,Primary Wood Products,Logs (cubic metres),4349447
2002,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),80553
2002,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),8140632
2002,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7167537
2002,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),12117438
2002,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1436471
2002,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),7481767
2002,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),1273016
2002,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),1060480
2002,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),49969486
2002,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),303718778
2002,Alberta,Exports,Primary Wood Products,Logs (cubic metres),47312
2002,Alberta,Exports,Pulp and Paper Products,Newsprint (tonnes),197725
2002,Alberta,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),53500
2002,Alberta,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),2017817
2002,Alberta,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),35562
2002,Alberta,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1538454
2002,Alberta,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),35619
2002,Alberta,Exports,Wood-Fabricated Materials,Plywood (cubic metres),60703
2002,Alberta,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),3672279
2002,Alberta,Exports,Wood-Fabricated Materials,Veneer (square metres),4575246
2002,British Columbia,Exports,Primary Wood Products,Logs (cubic metres),3944312
2002,British Columbia,Exports,Primary Wood Products,Pulpwood (cubic metres),28849
2002,British Columbia,Exports,Pulp and Paper Products,Newsprint (tonnes),910352
2002,British Columbia,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),1463524
2002,British Columbia,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),4938887
2002,British Columbia,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),103126
2002,British Columbia,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1598707
2002,British Columbia,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),169833
2002,British Columbia,Exports,Wood-Fabricated Materials,Plywood (cubic metres),626530
2002,British Columbia,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),28145407
2002,British Columbia,Exports,Wood-Fabricated Materials,Veneer (square metres),200404060
2002,Manitoba,Exports,Primary Wood Products,Logs (cubic metres),2025
2002,Manitoba,Exports,Primary Wood Products,Pulpwood (cubic metres),238
2002,Manitoba,Exports,Pulp and Paper Products,Newsprint (tonnes),129479
2002,Manitoba,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),88618
2002,Manitoba,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),1039
2002,Manitoba,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),20203
2002,Manitoba,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),392218
